Oppslutning i prosent. Antall mandater i parentes.

Måling;Dato;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Opinion/DA / FF / ANB;4/9-2025;27,5 (51);13,1 (21);19,6 (37);8,0 (13);5,4 (9);6,1 (10);4,2 (7);6,3 (10);6,6 (11);3,2 (0)
Verian/TV2;3/9-2025;27,4 (51);14,6 (26);21,6 (42);5,6 (9);5,8 (9);4,2 (6);4,2 (6);6,4 (10);5,5 (9);4,7 (1)
InFact/Nettavisen;3/9-2025;26,5 (49);13,6 (22);21,8 (43);5,4 (9);6,3 (10);5,2 (8);5,1 (8);4,6 (8);7,3 (12);4,3 (0)
Opinion/ABC / AT;3/9-2025;26,7 (50);13,4 (22);22,4 (43);5,2 (9);6,5 (11);3,7 (3);4,6 (8);7,0 (12);6,7 (11);4,0 (0)
Respons/VG / Aftenp. / BT;2/9-2025;26,6 (52);14,8 (28);20,3 (40);6,2 (9);4,8 (7);4,6 (7);4,6 (7);7,1 (10);6,6 (9);4,5 (0)
Verian/TV2;2/9-2025;26,2 (50);15,2 (27);21,3 (40);6,3 (11);6,0 (10);4,3 (7);4,0 (3);6,2 (10);5,7 (10);4,9 (1)
Verian/TV2;1/9-2025;25,6 (49);15,6 (29);22,3 (42);6,5 (10);5,3 (8);4,5 (7);4,0 (6);5,8 (9);5,6 (8);4,8 (1)
Verian/TV2;30/8-2025;28,1 (52);14,5 (26);20,5 (40);6,3 (11);5,9 (10);4,5 (8);3,9 (3);6,0 (10);5,5 (9);4,6 (0)
Verian/TV2;28/8-2025;29,3 (54);15,7 (29);19,2 (36);6,1 (10);6,4 (11);4,6 (8);3,2 (2);5,6 (9);5,9 (10);4,1 (0)
Norstat/NRK;27/8-2025;27,6 (51);14,6 (26);21,2 (41);6,8 (11);5,6 (9);4,7 (7);4,4 (7);4,6 (7);6,4 (10);4,1 (0)
Respons/VG / Aftenp. / BT;26/8-2025;28,0 (53);16,8 (29);18,5 (36);6,6 (10);6,8 (11);4,5 (7);4,5 (7);5,0 (7);5,8 (9);3,6 (0)
Verian/TV2;26/8-2025;27,0 (49);15,8 (28);21,0 (40);5,6 (9);6,3 (11);5,4 (9);3,7 (3);4,7 (8);6,8 (11);3,8 (1)
Verian/TV2;22/8-2025;26,7 (50);14,9 (24);22,8 (44);5,8 (10);6,0 (10);5,2 (8);3,2 (2);4,8 (8);7,3 (12);3,4 (1)
